Condition,,,,,,,
,"code text","search parameter","condition name",show,,,"The display text associated with the code of the identification of the condition, problem or diagnosis"
,abatement-date,"search parameter","abatement date",show,date,,"Date-related abatements (dateTime and period)"
,abatement[x],column,Abatement,show,"dateTime,Age,Period,Range,string",,"When in resolution/remission"
,asserter,column,Asserter,hide,Reference,,"Person who asserts this condition"
,clinical-status,"search parameter","clinical status",show,CodeableConcept,,"The clinical status of the condition"
,clinicalStatus,column,"Clinical Status",show,CodeableConcept,,"active | recurrence | relapse | inactive | remission | resolved"
,code,column,Code,show,CodeableConcept,,"Identification of the condition, problem or diagnosis"
,code,"search parameter",code,show,CodeableConcept,,"Code for the condition"
,encounter,column,Encounter,hide,Reference,,"Encounter created as part of"
,id,column,Id,show,string,,
,note,column,Note,hide,Annotation,,"Additional information about the Condition"
,onset-date,"search parameter","onset date",show,date,,"Date related onsets (dateTime and Period)"
,onset[x],column,Onset,show,"dateTime,Age,Period,Range,string",,"Estimated or actual date,  date-time, or age"
,recorded-date,"search parameter","recorded date",show,date,,"Date record was first recorded"
,recordedDate,column,"Recorded Date",show,dateTime,,"Date record was first recorded"
,recorder,column,Recorder,hide,Reference,,"Who recorded the condition"
,subject,column,Subject,show,Reference,,"Who has the condition?"
DocumentReference,,,,,,,
,authenticator,column,Authenticator,hide,Reference,,"Who/what authenticated the document"
,author,column,Author,hide,Reference,,"Who and/or what authored the document"
,content,column,Content,hide,BackboneElement,,"Document referenced"
,contenttype,"search parameter",contenttype,show,code,,"Mime type of the content, with charset etc."
,context,column,Context,hide,BackboneElement,,"Clinical context of document"
,custodian,column,Custodian,hide,Reference,,"Organization which maintains the document"
,description,"search parameter",description,show,string,,"Human-readable description"
,description,column,Description,show,string,,"Human-readable description"
,docStatus,column,"Doc Status",hide,code,,"preliminary | final | amended | entered-in-error"
,id,column,Id,show,string,,
,location,"search parameter",location,show,uri,,"Uri where the data can be found"
,masterIdentifier,column,"Master Identifier",hide,Identifier,,"Master Version Specific Identifier"
,relatesTo,column,"Relates To",hide,BackboneElement,,"Relationships to other documents"
,status,column,Status,show,code,,"current | superseded | entered-in-error"
,status,"search parameter",status,show,code,,"current | superseded | entered-in-error"
,subject,column,Subject,show,Reference,,"Who/what is the subject of the document"
,type,column,Type,show,CodeableConcept,,"Kind of document (LOINC if possible)"
,type,"search parameter",type,show,CodeableConcept,,"Kind of document (LOINC if possible)"
Encounter,,,,,,,
,account,column,Account,hide,Reference,,"The set of accounts that may be used for billing for this Encounter"
,appointment,column,Appointment,hide,Reference,,"The appointment that scheduled this encounter"
,basedOn,column,"Based On",hide,Reference,,"The ServiceRequest that initiated this encounter"
,class,column,Class,show,Coding,,"Classification of patient encounter"
,class,"search parameter",class,show,Coding,,"Classification of patient encounter"
,classHistory,column,"Class History",hide,BackboneElement,,"List of past encounter classes"
,date,"search parameter",date,show,date,,"A date within the period the Encounter lasted"
,diagnosis,column,Diagnosis,hide,BackboneElement,,"The list of diagnosis relevant to this encounter"
,episodeOfCare,column,"Episode Of Care",hide,Reference,,"Episode(s) of care that this encounter should be recorded against"
,hospitalization,column,Hospitalization,hide,BackboneElement,,"Details about the admission to a healthcare service"
,id,column,Id,show,string,,
,location,column,Location,hide,BackboneElement,,"List of locations where the patient has been"
,partOf,column,"Part Of",hide,Reference,,"Another Encounter this encounter is part of"
,participant,column,Participant,hide,BackboneElement,,"List of participants involved in the encounter"
,period,column,Period,show,Period,,"The start and end time of the encounter"
,priority,column,Priority,hide,CodeableConcept,,"Indicates the urgency of the encounter"
,reasonReference,column,"Reason Reference",hide,Reference,,"Reason the encounter takes place (reference)"
,serviceProvider,column,"Service Provider",hide,Reference,,"The organization (facility) responsible for this encounter"
,serviceType,column,"Service Type",hide,CodeableConcept,,"Specific type of service"
,status,"search parameter",status,show,code,,"planned | arrived | triaged | in-progress | onleave | finished | cancelled +"
,status,column,Status,show,code,,"planned | arrived | triaged | in-progress | onleave | finished | cancelled +"
,statusHistory,column,"Status History",hide,BackboneElement,,"List of past encounter statuses"
,subject,column,Subject,show,Reference,,"The patient or group present at the encounter"
,type,column,Type,show,CodeableConcept,,"Specific type of encounter"
,type,"search parameter",type,show,CodeableConcept,,"Specific type of encounter"
EvidenceVariable,,,,,,,
,name,column,Name,show,string,,"Computationally friendly name of the evidence variable"
,name,"search parameter",name,show,string,,"Computationally friendly name of the evidence variable"
,description,column,Description,show,string,,"The description of the evidence variable"
,description,"search parameter",description,show,string,,"The description of the evidence variable"
MedicationDispense,,,,,,,
,"code text","search parameter","medication name",show,,,"The display text associated with the code of the medication being administered"
,authorizingPrescription,column,"Authorizing Prescription",hide,Reference,,"Medication order that authorizes the dispense"
,category,column,Category,hide,CodeableConcept,,"Type of medication dispense"
,code,"search parameter",code,show,CodeableConcept,,"Returns dispenses of this medicine code"
,context,column,Context,hide,Reference,,"Encounter / Episode associated with event"
,daysSupply,column,"Days Supply",hide,Quantity,,"Amount of medication expressed as a timing amount"
,destination,column,Destination,hide,Reference,,"Where the medication was sent"
,detectedIssue,column,"Detected Issue",hide,Reference,,"Clinical issue with action"
,dosageInstruction,column,"Dosage Instruction",hide,Dosage,,"How the medication is to be used by the patient or administered by the caregiver"
,eventHistory,column,"Event History",hide,Reference,,"A list of relevant lifecycle events"
,id,column,Id,show,string,,
,identifier,"search parameter",identifier,show,Identifier,,"Returns dispenses with this external identifier"
,identifier,column,Identifier,show,Identifier,,"External identifier"
,location,column,Location,hide,Reference,,"Where the dispense occurred"
,medication[x],column,Medication,show,"CodeableConcept,Reference",,"What medication was supplied"
,note,column,Note,hide,Annotation,,"Information about the dispense"
,partOf,column,"Part Of",hide,Reference,,"Event that dispense is part of"
,performer,column,Performer,hide,BackboneElement,,"Who performed event"
,quantity,column,Quantity,show,Quantity,,"Amount dispensed"
,receiver,column,Receiver,hide,Reference,,"Who collected the medication"
,status,"search parameter",status,show,code,,"Returns dispenses with a specified dispense status"
